conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d13f1685-9848-4c9e-a40a-686ddb407858,Asbestsanierungsvorschriften,released,knowledge,cross-sector,,Gesetze und sonstige Rechtsvorschriften zur Sanierung asbestverseuchter Gebäude oder Bauwerke und zum sicheren Ausbau kontaminierter Materialien sowie Vorschriften zur Vermeidung und Verhütung von Kontaminationen.,http://data.europa.eu/esco/isced-f/1022,Arbeitsschutz
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d168d98c-b7bb-4b9a-b1dc-eac008af4df3,Aktionspläne zur Biodiversität umsetzen,released,skill/competence,sector-specific,Aktionspläne zu biologischen Vielfalt umsetzen,Förderung und Umsetzung lokaler und nationaler Aktionspläne zur Biodiversität in Partnerschaft mit lokalen/nationalen staatlichen und Freiwilligenorganisationen.,http://data.europa.eu/esco/skill/a6c3bda0-c759-495e-b2c5-062b3abe2097,Umsetzung neuer Verfahren oder Prozesse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ec6846-dd8a-4810-8115-474cdf271540,Verordnungen zu Stoffen und Gemischen,released,knowledge,sector-specific,,"Nationale und internationale Rechtsvorschriften zur Einstufung, Kennzeichnung und Verpackung von Stoffen und Gemischen, z. B. Verordnung (EG) Nr. 1272/2008.",http://data.europa.eu/esco/isced-f/0531,Chemie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ee1caa-1956-48f6-a009-318204bf908e,Grundwassermodelle erstellen,released,skill/competence,occupation-specific,,Modellieren des Grundwasserflusses; Analysieren der Grundwassertemperatur und -merkmale; Ermitteln der geologischen Formationen und der vom Menschen ausgehenden Einflüsse.,http://data.europa.eu/esco/skill/2db2667c-bbaf-4e30-8640-c9a647bd2512 | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,Wasseranalysen durchführen | Analyse und Auswertung von Informationen und Daten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1f73ae9-d348-4aac-b5d5-9b6d508401d3,ressourceneffiziente Technologien,released,knowledge,cross-sector,Ressourceneffizienz-Technologie,"Nachhaltige Technologien, die es ermöglichen, mithilfe begrenzter Ressourcen mehr Wert zu schaffen und gleichzeitig die Auswirkungen auf die Umwelt zu verringern und die Risiken der Verknappung einzudämmen.
	",http://data.europa.eu/esco/skill/103f7814-d262-4df6-a1b6-759bc51f76cb | http://data.europa.eu/esco/isced-f/0712,nachhaltige Technologien | Umweltschutztechnologie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d28bf3f7-4659-4405-9979-b1270c4c4322,Belüftung von Brennöfen steuern,released,skill/competence,sector-specific,,Steuern einer produktspezifischen und energieeffizienten Belüftung von Brennöfen.,http://data.europa.eu/esco/skill/bdf2aa76-360d-429d-a967-bdb691f241fa,"Betrieb von Kilns, Schmelzöfen und Trockeneinrichtungen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d2c81ad1-2439-43cf-9c63-204187b8f771,Ressourcenverschwendung mindern,released,skill/competence,cross-sector,Ressourcenverschwendung verringern,"Bewerten und Ermitteln von Möglichkeiten einer effizienteren Ressourcennutzung und ständiges Bemühen, die Verschwendung von Ressourcen zu verringern.",http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821 | http://data.europa.eu/esco/skill/cbe1b24e-00f3-4b17-94e9-1fcd34a11c3e,die Umweltauswirkungen des eigenen Verhaltens bewerten | Ermittlung von Möglichkeiten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d2c9c20e-ff2f-4684-bf93-1d04c78f698f,Steuerungssysteme für Entsalzungsanlagen warten,released,skill/competence,sector-specific,,Warten eines Systems zur Gewinnung von Trinkwasser aus salzhaltigem Wasser.,http://data.europa.eu/esco/skill/75d2ac62-700a-41d1-b920-5cd7aaa78553 | http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"Steuersysteme bedienen | Betrieb von Systemen oder Ausrüstungen für die Verarbeitung von Erdöl, die chemische Weiterverarbeitung oder die Wasseraufbereitung"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d3672a07-6a5b-49f4-bdd3-fcd539594556,Biodiesel,released,knowledge,occupation-specific,,"Dieselkraftstoff, der durch Umesterung pflanzlicher oder tierischer Fette und Öle mit Alkoholen gewonnen wird.",http://data.europa.eu/esco/isced-f/0531,Chemie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d3a8ef9c-8572-438c-91dc-010537070be3,mit Umweltauswirkungen umgehen,released,skill/competence,cross-sector,,"Umsetzen von Maßnahmen zur Minimierung der biologischen, chemischen und physikalischen Auswirkungen der Bergbautätigkeit auf die Umwelt.",http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,Einhaltung von Umweltschutzgesetzen und -normen
